"Gene_Symbol"	"Cancer"
"RGS4"	"ESCA"
"RSAD2"	"ESCA"
"RUNX1T1"	"ESCA"
"SAMSN1"	"ESCA"
"SERPING1"	"ESCA"
"SGCD"	"ESCA"
"SH2D1A"	"ESCA"
"SIGLEC1"	"ESCA"
"SP140"	"ESCA"
"SPON1"	"ESCA"
"SPON2"	"ESCA"
"TCF21"	"ESCA"
"TFEC"	"ESCA"
"THBS2"	"ESCA"
"TLR2"	"ESCA"
"TLR7"	"ESCA"
"TNFSF4"	"ESCA"
"TRAT1"	"ESCA"
"VCAM1"	"ESCA"
"VSIG4"	"ESCA"
"WISP1"	"ESCA"
"ZEB2"	"ESCA"
"ZFPM2"	"ESCA"
